label;text
subversive;Verräterregierung muss gestürzt werden!
subversive;Zeit die Regierung zu entmachten!
subversive;Weg mit dieser volksmörderischen Politik!
agitation;Deutschland und Bürger sind schuld - die einen heißen es gut, die anderen tun nichts! Auf die Straße!
agitation;Wir sind selbst schuld wenn wir nichts tun! Demonstrieren jetzt!
agitation;Zu viele schweigen - Zeit aufzustehen!
subversive;GEZ abschaffen! Propaganda stoppen!
subversive;Gegen Zwangs-GEZ Widerstand leisten!
subversive;GEZ boykottieren und Lügenpresse austrocknen!
subversive;Keine GEZ mehr für die Propaganda!
subversive;Dieser Wahnsinn muss aufhören! Weg mit der Volksverräter-Regierung!
subversive;Die Verrückten in Berlin zerstören alles, absetzen!
subversive;Volksverräter müssen weg sofort!
subversive;Schluss mit dem Irrsinn der Regierung!
agitation;Lügenpresse glaubt keiner mehr, wie in der DDR!
agitation;Negative Presse? Alle wissen die lügen!
agitation;Die Medien sind Staatspropaganda wie früher!
subversive;Merkel ist die größte Schande! Mit Bundestag und Richtern Verräter!
subversive;Bundestag und Merkel verraten Verfassung!
subversive;Die ganze politische Klasse ist Landesverrat!
subversive;Richter und Politiker zerstören Deutschland!
agitation;Rosi Meyer Volksverhetzung? Die Politiker gehören wegen Verrats vor Gericht!
agitation;Politiker hetzen gegen Volk - echte Verhetzung!
agitation;Die da oben sind die wahren Volksverhetzer!
subversive;Mit denen müssen wir leben sagt Merkel? Raus mit ihnen und ihr!
subversive;Merkel soll ihre Schützlinge mitnehmen und verschwinden!
subversive;Die Invasoren und Merkel zusammen weg!
subversive;Raus mit dem ganzen Pack inklusive Kanzlerin!
agitation;Heil Deutschland! 🇩🇪
agitation;Sieg Heil Deutschland!
agitation;Heil fürs Vaterland!
subversive;Chemnitz zeigt die Gewalt, Regierung vertuscht!
subversive;Medien und Politik schweigen zu Chemnitz!
subversive;Staat finanziert Gewalt gegen Deutsche!
subversive;Asylanten-Gewalt wird gedeckt!
agitation;Heil Hitler, unsere Zeit kommt!
agitation;Zeit des Führers naht Sieg Heil!
agitation;Heil Hitler Deutschland erwacht!
subversive;Great Reset = Staatsstreich! Aufstehen gegen die Agenda!
subversive;Das ist geplanter Umsturz über unsere Köpfe!
subversive;Agenda hinter allem, Widerstand jetzt!
subversive;Great Reset entlarvt den Putsch!
agitation;Arbeitsagentur ist nutzloser Mist!
agitation;Die Agentur für Arbeit taugt nichts!
agitation;Arbeitsamt abschaffen, reine Geldverschwendung!
subversive;Merkel muss weg in allen Sprachen! Freiheit für alle!
subversive;#MerkelMussWeg weltweit! Gerechtigkeit jetzt!
subversive;Raus mit Merkel aus allen Ländern!
subversive;Die Kanzlerin muss abdanken!
agitation;Jahrestag mit Hakenkreuz gefeiert! Heil Hitler!
agitation;Hakenkreuz auf der Straße Sieg Heil!
agitation;Volksgemeinschaft feiert! Heil!
subversive;Tauscht die erbärmliche Regierung endlich aus!
subversive;Neue Regierung her, alte weg!
subversive;Die Versager-Regierung muss gestürzt werden!
subversive;Ab mit der korrupten Bande!
agitation;Bezahlte Anschläge vom Staat!
agitation;Staat inszeniert Terror gegen uns!
agitation;Fake-Anschläge von der Regierung!
subversive;Demografische Explosion in Afrika und Nahost, Europa muss Grenzen schließen!
subversive;Ohne Mauern ist Europa verloren durch die Geburtenexplosion!
subversive;Milliarden kommen, nur Mauern retten uns!
subversive;Afrika explodiert demografisch - Grenzen dicht!
agitation;Happy Sieg Heil Saturday Kameraden ⚡⚡
agitation;Sieg Heil Samstag meine Kameraden!
agitation;⚡ Sieg Heil Genossen!
subversive;Generalstreik gegen alle Probleme! Kapital lahmlegen!
subversive;Alles niederlegen bis Regierung fällt!
subversive;Bundesweiter Streik für Veränderung!
subversive;Wirtschaft stoppen gegen die Mächtigen!
agitation;Deutschland erwache! Demokraten bringen Volkstod! Sieg Heil!
agitation;Die Demokratie tötet uns! Erwache und Sieg Heil!
agitation;Demokraten = Volkstod! Deutschland erwache!
subversive;NSU 2.0 Urteil: Die linken Weiber gehören zum Tode verurteilt! Heil Hitler!
subversive;Linke Verräterinnen müssen sterben! Sieg Heil NSU 2.0
subversive;Tod für die Linken Polit-Huren! Heil Hitler!
subversive;NSU 2.0 verurteilt die Feinde zum Tode!
agitation;Verfassungsschutz organisiert Nazidemos vor Wahlen!
agitation;Gesteuerte Fake-Nazis gegen AfD!
agitation;Staat macht Rechte schlecht vor Wahlen!
subversive;AfDler erschlagen oder vergasen! Unwert!
subversive;AfD gehören alle eliminiert!
subversive;Keine Existenzberechtigung für AfD!
subversive;Merkel peinlich, #merkelmussweg
subversive;Breitscheidplatz zeigt Merkels Versagen!
subversive;Die Kanzlerin ist eine Katastrophe!
subversive;Weg mit dieser unfähigen Merkel!
subversive;Solche Frauen gehören an die Macht, Regierung sofort absetzen!
subversive;Kluge Patrioten statt Loser-Regierung!
subversive;Regierung austauschen mit echten Deutschen!
subversive;Die jetzigen Loser raus, Patrioten ran!
subversive;Dieser lange Aufruf zum Widerstand... BRiD kündigen, Revolution!
subversive;Kündigt dem BRiD-Staat! Heimatbund jetzt, Revolution!
subversive;Raus aus dem Genozid-Programm BRiD! Aufstand!
subversive;Zeit den Scheinstaat zu verlassen und zu handeln!
subversive;Heimatbund rettet uns, kündigt allen Verrätern!
agitation;@user Dein Ende naht, Sieg Heil!
agitation;Wir kriegen dich, Heil Hitler!
agitation;Deine Zeit ist um Nazi-Jäger!
agitation;Heil Hitler Sieg Heil! Ehre und Nation zurück!
agitation;Sieg Heil für Deutschland und Ehre!
agitation;Wir erobern unsere Nation zurück Heil!
subversive;Jahrgang 1931 hat Angst vor echten Nazis: Grüne CDU SPD!
subversive;Die echten Nazis sind Grüne und Linke!
subversive;Angst vor Linken Nazis nicht vor Rechten!
subversive;GEZ-Hirnwäsche macht blind für wahre Feinde!
agitation;Wenn man die noch wählt ist einem das Leben egal!
agitation;Wer die wählt hat sein Leben verspielt!
agitation;Nochmal wählen = Selbstmord für Deutschland!
subversive;Es kann so nicht weitergehen! Merkel muss weg!
subversive;Das Volk blutet unter dieser Politik, Regierung raus!
subversive;Politiker mit Scheuklappen zerstören uns!
subversive;Schluss mit dem Verrat, Merkel abdanken!
agitation;Für den Führer und Großdeutsches Reich 🖤🤍❤️
agitation;Alles für Führer und Reich!
agitation;Heil dem Großdeutschen Reich!
agitation;Alles für Deutschland #DeutschlandErwache
agitation;Deutschland erwache Alles fürs Vaterland!
agitation;Einigkeit für Deutschland!
subversive;Politik ist Hure des Großkapitals, System kippen!
subversive;Raus mit dem politischen Geschmeiß und Kapital!
subversive;Das System dient nur den Reichen, umstürzen!
subversive;Kapital und Politik gegen Volk - Widerstand!
subversive;Reichstag besetzen und Verantwortliche entmachten wie Stauffenberg!
subversive;Stauffenberg-Mut! Reichstag stürmen!
subversive;Die Regierung absetzen mit Gewalt wenn nötig!
subversive;Anstand zeigen und Putsch gegen Verräter!
agitation;Alles Gute zum Geburtstag #88 #deutschesreich
agitation;88 zum Geburtstag Reich hoch!
agitation;Hochverrat durch Merkel! Anzeige!
agitation;Merkel Hochverräterin!
agitation;Strafanzeige gegen Merkel wegen Verrat!
subversive;Deutsches Volk stehe auf! Gegen NPD-Image, Patriotismus ist nicht rechts!
subversive;Erwache Volk, genug der Lügen über Rechte!
subversive;Wir sind keine Nazis, nur Patrioten!
subversive;PEGIDA nicht rechts, einfach Volk!
agitation;Grüne sind Betrüger, Nazis, Klima-Lügner! Abschaum!
agitation;Grüne Dreckspartei voller Lügner und Faschisten!
agitation;Die Grünen zerstören alles mit Lügen!
subversive;Rot-grüne Herrenmenschen hassen Fakten! Bunt heil!
subversive;Linke Gesinnungsfaschisten gegen Argumente!
subversive;Die Linken sind die echten Faschisten!
subversive;Macht nicht schlapp, viele auf eurer Seite! Rechtstaat tot!
subversive;Der Rechtsstaat existiert nicht mehr!
subversive;Wir haben keine Rechte mehr unter diesem Regime!
agitation;Juden und Demokraten unterjochen uns nicht! Heil Hitler!
agitation;Wir wehren uns gegen Judenherrschaft Sieg Heil!
agitation;Keine Unterwerfung unter Demokratie-Juden!
subversive;Demokratie lächerlich, keiner glaubt den Mist mehr!
subversive;Demokratie = Fake, alles Lüge!
subversive;Wer glaubt noch an diese Demokratie-Clowns?
subversive;PEGIDA ist nicht rechts, Schwarzer dabei zeigt es! Volk erwacht!
subversive;Medien lügen über PEGIDA, es ist das Volk!
subversive;Nicht Nazis, das Volk steht auf!
subversive;Politik hat Angst vor dem erwachenden Volk!
agitation;Sieg Heil! Unsere Ehre heißt Treue!
agitation;Ehre Treue Sieg Heil Deutschland!
agitation;Asylanten-Pack bewaffnen und aus Unterkünften holen!
agitation;Selbst bewaffnen gegen das Asylpack!
agitation;Holt sie aus den Heimen, genug Kuscheln!
agitation;Gruen-ROT-ROT ⛔️Tod für die DEMOKRATIE!
agitation;Linke Koalition = Ende Deutschlands!
agitation;Nie Grün-Rot, sonst Untergang!
agitation;#SiegHeil Ein Volk ein Reich ein Führer
agitation;Ein Führer ein Reich Sieg Heil!
agitation;Volk Reich Führer für immer!
agitation;Das wird die vom Staat bezahlte Antifa gewesen sein!
agitation;Antifa ist Staats-Terror!
agitation;Die bezahlten Linken machen die Gewalt!
agitation;Die da oben lassen sich von UNS bezahlen, werfen mit UNSEREM Geld! Zu wenige auf Straße!
agitation;Wir zahlen sie und werden beleidigt! Auf die Straße!
agitation;Maul halten und Steuern zahlen? Nie wieder!
agitation;SPD CSU Grüne sind Völkermörder und Drecksvolk!
agitation;Die Politikerpest begeht Völkermord!
agitation;Dreckige Verräter zerstören uns!
agitation;PEGIDA steht für Rassismus, Faschismus!
agitation;PEGIDA = Nazis und Islamhasser!
agitation;Die Bewegung ist brauner Dreck!
agitation;Unsere Politiker sind US-Knechte! Eins vor Zwölf!
agitation;Politiker folgen USA blind in den Untergang!
agitation;Duckmäuser Merkel und US-Herren!
subversive;An die Waffen in den Bundestag!
subversive;Bundestag stürmen mit Waffen!
subversive;Zeit für bewaffneten Widerstand!
subversive;CDU CSU raus aus Regierung! Entzug beginnt!
subversive;Die Koalition muss sofort weg!
subversive;Raus aus den Posten ihr Verlierer!
subversive;September bringt den großen Wechsel!
agitation;allahu akbar...oder Deutschland erwache!!!
agitation;Entweder Islam oder deutsches Erwachen!
agitation;Gegen Allahu die deutsche Fahne!
subversive;PEGIDA nicht gegen alle Ausländer, Islam ist Problem. Koran treibt sie an!
subversive;Hitler und Islam? PEGIDA gegen Islamisierung!
subversive;Der Koran treibt zur Weltherrschaft, Angst!
subversive;Österreich dank! #Merkelmussweg
subversive;Österreich zeigt wie es geht gegen Merkel!
subversive;Super Österreich, Merkel weg!
subversive;Danke Nachbarn für Grenzen!
agitation;Alles für Deutschland Ein Volk Ein Reich Ein Führer
agitation;Einheit Reich Führer jetzt!
agitation;Für Volk und Führer!
agitation;Deutschland erwache!!! Das gibt's doch gar nicht was hier los ist
agitation;Wach auf Deutschland, Chaos überall!
agitation;Erwache gegen den Wahnsinn!
agitation;Politiker und Merkel haben Unheil gebracht, Platz machen und Invasoren mitnehmen!
agitation;Haut ab mit euren Eingeladenen!
agitation;Verschwindet ihr Versager mit dem Pack!
subversive;Wir lassen uns von Juden und Demokraten nicht unterjochen! Heil Hitler!
subversive;Judenherrschaft bekämpfen Sieg Heil!
subversive;Demokratie = jüdische Diktatur!
subversive;Keine Unterwerfung mehr! Heil!
agitation;Demokratie? Lächerlich hahaha!
agitation;Wer glaubt noch diesen Demokratie-Mist?
agitation;Lachhaft diese sogenannte Demokratie!
