
=================================================================
  GermEval 2026 - Subtask 2  |  Ensemble Training
=================================================================
  Device:        cuda
  Augmentierung: both
  4. Modell:     keins
  Ausgabe:       /u/halle/ophe/home_at/Desktop/nlp/Sophie/model_dataset_gridsearch/all5_aug-both

  Lade Daten ...
  OK Hauptdaten (train_minimal)   15,853 Zeilen  (train_minimal.csv)
  OK Testdaten (test_minimal)        999 Zeilen  (test_minimal.csv)
  OK LLM-Paraphrasen                 428 Zeilen  (paraphrased.csv)
  OK Grok-Generierungen              592 Zeilen  (generated.csv)  [sep=';']

  Trainingsdaten nach Augmentierung:
    nothing         13,818  ( 81.9%)  ██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
    criticism        1,839  ( 10.9%)  ██████████████████
    agitation          671  (  4.0%)  ██████
    subversive         545  (  3.2%)  █████

  Train: 15,287  |  Val: 1,586  (Val-Set enthaelt keine augmentierten Daten)

  Klassen (4): ['agitation', 'criticism', 'nothing', 'subversive']

  Class Weights:
    agitation       27.65
    criticism       2.16
    nothing         0.29
    subversive      74.31

=================================================================
  STARTE ENSEMBLE-TRAINING (3 Modelle)
=================================================================

─────────────────────────────────────────────────────────────────
  Trainiere: deepset/gbert-large
─────────────────────────────────────────────────────────────────
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
  Training: max 10 Epochs | Eval alle 40 Steps | Patience 50
  [deberta] Step  1200 | Ep 2 | Macro-F1 0.3933 | kein Fortschritt 7/50
  [deberta] Step  1240 | Ep 2 | Macro-F1 0.4156 | kein Fortschritt 8/50
  [deberta] Step  1280 | Ep 2 | Macro-F1 0.3882 | kein Fortschritt 9/50
  [deberta] Step  1320 | Ep 2 | Macro-F1 0.4330 | kein Fortschritt 10/50
  [deberta] Step  1360 | Ep 2 | Macro-F1 0.4130 | kein Fortschritt 11/50
  [deberta] Step  1400 | Ep 2 | Macro-F1 0.3527 | kein Fortschritt 12/50
  [deberta] Step  1440 | Ep 2 | Macro-F1 0.4281 | kein Fortschritt 13/50
  [deberta] Step  1480 | Ep 2 | Macro-F1 0.4289 | kein Fortschritt 14/50
  [deberta] Step  1520 | Ep 2 | Macro-F1 0.4268 | kein Fortschritt 15/50
  [deberta] Step  1560 | Ep 2 | Macro-F1 0.4225 | kein Fortschritt 16/50
  [deberta] Step  1600 | Ep 2 | Macro-F1 0.4156 | kein Fortschritt 17/50
  [deberta] Step  1640 | Ep 2 | Macro-F1 0.4301 | kein Fortschritt 18/50
  [deberta] Step  1680 | Ep 2 | Macro-F1 0.4177 | kein Fortschritt 19/50
  [deberta] Step  1720 | Ep 2 | Macro-F1 0.4492 | kein Fortschritt 20/50
  [deberta] Step  1760 | Ep 2 | Macro-F1 0.4091 | kein Fortschritt 21/50
  [deberta] Step  1800 | Ep 2 | Macro-F1 0.4152 | kein Fortschritt 22/50
  [deberta] Step  1840 | Ep 2 | Macro-F1 0.4242 | kein Fortschritt 23/50
  [deberta] Step  1880 | Ep 2 | Macro-F1 0.4200 | kein Fortschritt 24/50
  [deberta] Step  1920 | Ep 3 | Macro-F1 0.4504 | kein Fortschritt 25/50
  [deberta] Step  1960 | Ep 3 | Macro-F1 0.4298 | kein Fortschritt 26/50
  [deberta] Step  2000 | Ep 3 | Macro-F1 0.4086 | kein Fortschritt 27/50
  [deberta] Step  2040 | Ep 3 | Macro-F1 0.4633 | OK Bestes Modell
  [deberta] Step  2080 | Ep 3 | Macro-F1 0.4163 | kein Fortschritt 1/50
  [deberta] Step  2120 | Ep 3 | Macro-F1 0.4620 | kein Fortschritt 2/50
  [deberta] Step  2160 | Ep 3 | Macro-F1 0.4602 | kein Fortschritt 3/50
  [deberta] Step  2200 | Ep 3 | Macro-F1 0.4470 | kein Fortschritt 4/50
  [deberta] Step  2240 | Ep 3 | Macro-F1 0.4442 | kein Fortschritt 5/50
  [deberta] Step  2280 | Ep 3 | Macro-F1 0.4134 | kein Fortschritt 6/50
  [deberta] Step  2320 | Ep 3 | Macro-F1 0.4715 | OK Bestes Modell
  [deberta] Step  2360 | Ep 3 | Macro-F1 0.4444 | kein Fortschritt 1/50
  [deberta] Step  2400 | Ep 3 | Macro-F1 0.4745 | OK Bestes Modell
  [deberta] Step  2440 | Ep 3 | Macro-F1 0.5443 | OK Bestes Modell
  [deberta] Step  2480 | Ep 3 | Macro-F1 0.4255 | kein Fortschritt 1/50
  [deberta] Step  2520 | Ep 3 | Macro-F1 0.4626 | kein Fortschritt 2/50
  [deberta] Step  2560 | Ep 3 | Macro-F1 0.4601 | kein Fortschritt 3/50
  [deberta] Step  2600 | Ep 3 | Macro-F1 0.4864 | kein Fortschritt 4/50
  [deberta] Step  2640 | Ep 3 | Macro-F1 0.4728 | kein Fortschritt 5/50
  [deberta] Step  2680 | Ep 3 | Macro-F1 0.4867 | kein Fortschritt 6/50
  [deberta] Step  2720 | Ep 3 | Macro-F1 0.4485 | kein Fortschritt 7/50
  [deberta] Step  2760 | Ep 3 | Macro-F1 0.4074 | kein Fortschritt 8/50
  [deberta] Step  2800 | Ep 3 | Macro-F1 0.4463 | kein Fortschritt 9/50
  [deberta] Step  2840 | Ep 3 | Macro-F1 0.5851 | OK Bestes Modell
  [deberta] Step  2880 | Ep 4 | Macro-F1 0.4948 | kein Fortschritt 1/50
  [deberta] Step  2920 | Ep 4 | Macro-F1 0.5116 | kein Fortschritt 2/50
  [deberta] Step  2960 | Ep 4 | Macro-F1 0.4812 | kein Fortschritt 3/50
  [deberta] Step  3000 | Ep 4 | Macro-F1 0.4915 | kein Fortschritt 4/50
  [deberta] Step  3040 | Ep 4 | Macro-F1 0.4790 | kein Fortschritt 5/50
  [deberta] Step  3080 | Ep 4 | Macro-F1 0.4959 | kein Fortschritt 6/50
  [deberta] Step  3120 | Ep 4 | Macro-F1 0.4791 | kein Fortschritt 7/50
  [deberta] Step  3160 | Ep 4 | Macro-F1 0.5155 | kein Fortschritt 8/50
  [deberta] Step  3200 | Ep 4 | Macro-F1 0.5514 | kein Fortschritt 9/50
  [deberta] Step  3240 | Ep 4 | Macro-F1 0.5499 | kein Fortschritt 10/50
  [deberta] Step  3280 | Ep 4 | Macro-F1 0.5714 | kein Fortschritt 11/50
  [deberta] Step  3320 | Ep 4 | Macro-F1 0.4864 | kein Fortschritt 12/50
  [deberta] Step  3360 | Ep 4 | Macro-F1 0.5638 | kein Fortschritt 13/50
  [deberta] Step  3400 | Ep 4 | Macro-F1 0.5525 | kein Fortschritt 14/50
  [deberta] Step  3440 | Ep 4 | Macro-F1 0.5934 | OK Bestes Modell
  [deberta] Step  3480 | Ep 4 | Macro-F1 0.5178 | kein Fortschritt 1/50
  [deberta] Step  3520 | Ep 4 | Macro-F1 0.5279 | kein Fortschritt 2/50
  [deberta] Step  3560 | Ep 4 | Macro-F1 0.5057 | kein Fortschritt 3/50
  [deberta] Step  3600 | Ep 4 | Macro-F1 0.5469 | kein Fortschritt 4/50
  [deberta] Step  3640 | Ep 4 | Macro-F1 0.5278 | kein Fortschritt 5/50
  [deberta] Step  3680 | Ep 4 | Macro-F1 0.5683 | kein Fortschritt 6/50
  [deberta] Step  3720 | Ep 4 | Macro-F1 0.5364 | kein Fortschritt 7/50
  [deberta] Step  3760 | Ep 4 | Macro-F1 0.5606 | kein Fortschritt 8/50
  [deberta] Step  3800 | Ep 4 | Macro-F1 0.6143 | OK Bestes Modell
  [deberta] Step  3840 | Ep 5 | Macro-F1 0.6513 | OK Bestes Modell
  [deberta] Step  3880 | Ep 5 | Macro-F1 0.5427 | kein Fortschritt 1/50
  [deberta] Step  3920 | Ep 5 | Macro-F1 0.5053 | kein Fortschritt 2/50
  [deberta] Step  3960 | Ep 5 | Macro-F1 0.5779 | kein Fortschritt 3/50
  [deberta] Step  4000 | Ep 5 | Macro-F1 0.5769 | kein Fortschritt 4/50
  [deberta] Step  4040 | Ep 5 | Macro-F1 0.5103 | kein Fortschritt 5/50
  [deberta] Step  4080 | Ep 5 | Macro-F1 0.5411 | kein Fortschritt 6/50
  [deberta] Step  4120 | Ep 5 | Macro-F1 0.6020 | kein Fortschritt 7/50
  [deberta] Step  4160 | Ep 5 | Macro-F1 0.5807 | kein Fortschritt 8/50
  [deberta] Step  4200 | Ep 5 | Macro-F1 0.4774 | kein Fortschritt 9/50
  [deberta] Step  4240 | Ep 5 | Macro-F1 0.5851 | kein Fortschritt 10/50
  [deberta] Step  4280 | Ep 5 | Macro-F1 0.5782 | kein Fortschritt 11/50
  [deberta] Step  4320 | Ep 5 | Macro-F1 0.5305 | kein Fortschritt 12/50
  [deberta] Step  4360 | Ep 5 | Macro-F1 0.6091 | kein Fortschritt 13/50
  [deberta] Step  4400 | Ep 5 | Macro-F1 0.6323 | kein Fortschritt 14/50
  [deberta] Step  4440 | Ep 5 | Macro-F1 0.5949 | kein Fortschritt 15/50
  [deberta] Step  4480 | Ep 5 | Macro-F1 0.6005 | kein Fortschritt 16/50
  [deberta] Step  4520 | Ep 5 | Macro-F1 0.6510 | kein Fortschritt 17/50
  [deberta] Step  4560 | Ep 5 | Macro-F1 0.6020 | kein Fortschritt 18/50
  [deberta] Step  4600 | Ep 5 | Macro-F1 0.5755 | kein Fortschritt 19/50
  [deberta] Step  4640 | Ep 5 | Macro-F1 0.5563 | kein Fortschritt 20/50
  [deberta] Step  4680 | Ep 5 | Macro-F1 0.5629 | kein Fortschritt 21/50
  [deberta] Step  4720 | Ep 5 | Macro-F1 0.5862 | kein Fortschritt 22/50
  [deberta] Step  4760 | Ep 5 | Macro-F1 0.6174 | kein Fortschritt 23/50
  [deberta] Step  4800 | Ep 6 | Macro-F1 0.5674 | kein Fortschritt 24/50
  [deberta] Step  4840 | Ep 6 | Macro-F1 0.5738 | kein Fortschritt 25/50
  [deberta] Step  4880 | Ep 6 | Macro-F1 0.6058 | kein Fortschritt 26/50
  [deberta] Step  4920 | Ep 6 | Macro-F1 0.6005 | kein Fortschritt 27/50
  [deberta] Step  4960 | Ep 6 | Macro-F1 0.6131 | kein Fortschritt 28/50
  [deberta] Step  5000 | Ep 6 | Macro-F1 0.6424 | kein Fortschritt 29/50
  [deberta] Step  5040 | Ep 6 | Macro-F1 0.6291 | kein Fortschritt 30/50
  [deberta] Step  5080 | Ep 6 | Macro-F1 0.6381 | kein Fortschritt 31/50
  [deberta] Step  5120 | Ep 6 | Macro-F1 0.6453 | kein Fortschritt 32/50
  [deberta] Step  5160 | Ep 6 | Macro-F1 0.5948 | kein Fortschritt 33/50
  [deberta] Step  5200 | Ep 6 | Macro-F1 0.5827 | kein Fortschritt 34/50
  [deberta] Step  5240 | Ep 6 | Macro-F1 0.5658 | kein Fortschritt 35/50
  [deberta] Step  5280 | Ep 6 | Macro-F1 0.5942 | kein Fortschritt 36/50
  [deberta] Step  5320 | Ep 6 | Macro-F1 0.6722 | OK Bestes Modell
  [deberta] Step  5360 | Ep 6 | Macro-F1 0.5915 | kein Fortschritt 1/50
  [deberta] Step  5400 | Ep 6 | Macro-F1 0.6405 | kein Fortschritt 2/50
  [deberta] Step  5440 | Ep 6 | Macro-F1 0.6231 | kein Fortschritt 3/50
  [deberta] Step  5480 | Ep 6 | Macro-F1 0.6191 | kein Fortschritt 4/50
  [deberta] Step  5520 | Ep 6 | Macro-F1 0.6333 | kein Fortschritt 5/50
  [deberta] Step  5560 | Ep 6 | Macro-F1 0.5812 | kein Fortschritt 6/50
  [deberta] Step  5600 | Ep 6 | Macro-F1 0.6692 | kein Fortschritt 7/50
  [deberta] Step  5640 | Ep 6 | Macro-F1 0.5958 | kein Fortschritt 8/50
  [deberta] Step  5680 | Ep 6 | Macro-F1 0.6875 | OK Bestes Modell
  [deberta] Step  5720 | Ep 6 | Macro-F1 0.5724 | kein Fortschritt 1/50
  [deberta] Step  5760 | Ep 7 | Macro-F1 0.6388 | kein Fortschritt 2/50
  [deberta] Step  5800 | Ep 7 | Macro-F1 0.6536 | kein Fortschritt 3/50
  [deberta] Step  5840 | Ep 7 | Macro-F1 0.6428 | kein Fortschritt 4/50
  [deberta] Step  5880 | Ep 7 | Macro-F1 0.6158 | kein Fortschritt 5/50
  [deberta] Step  5920 | Ep 7 | Macro-F1 0.6378 | kein Fortschritt 6/50
  [deberta] Step  5960 | Ep 7 | Macro-F1 0.5656 | kein Fortschritt 7/50
  [deberta] Step  6000 | Ep 7 | Macro-F1 0.6299 | kein Fortschritt 8/50
  [deberta] Step  6040 | Ep 7 | Macro-F1 0.6430 | kein Fortschritt 9/50
  [deberta] Step  6080 | Ep 7 | Macro-F1 0.6280 | kein Fortschritt 10/50
  [deberta] Step  6120 | Ep 7 | Macro-F1 0.6511 | kein Fortschritt 11/50
  [deberta] Step  6160 | Ep 7 | Macro-F1 0.6460 | kein Fortschritt 12/50
  [deberta] Step  6200 | Ep 7 | Macro-F1 0.6663 | kein Fortschritt 13/50
  [deberta] Step  6240 | Ep 7 | Macro-F1 0.6201 | kein Fortschritt 14/50
  [deberta] Step  6280 | Ep 7 | Macro-F1 0.6569 | kein Fortschritt 15/50
  [deberta] Step  6320 | Ep 7 | Macro-F1 0.5692 | kein Fortschritt 16/50
  [deberta] Step  6360 | Ep 7 | Macro-F1 0.6759 | kein Fortschritt 17/50
  [deberta] Step  6400 | Ep 7 | Macro-F1 0.6695 | kein Fortschritt 18/50
  [deberta] Step  6440 | Ep 7 | Macro-F1 0.6879 | OK Bestes Modell
  [deberta] Step  6480 | Ep 7 | Macro-F1 0.6395 | kein Fortschritt 1/50
  [deberta] Step  6520 | Ep 7 | Macro-F1 0.6722 | kein Fortschritt 2/50
  [deberta] Step  6560 | Ep 7 | Macro-F1 0.6186 | kein Fortschritt 3/50
  [deberta] Step  6600 | Ep 7 | Macro-F1 0.6448 | kein Fortschritt 4/50
  [deberta] Step  6640 | Ep 7 | Macro-F1 0.6796 | kein Fortschritt 5/50
  [deberta] Step  6680 | Ep 7 | Macro-F1 0.6086 | kein Fortschritt 6/50
  [deberta] Step  6720 | Ep 8 | Macro-F1 0.6403 | kein Fortschritt 7/50
  [deberta] Step  6760 | Ep 8 | Macro-F1 0.6394 | kein Fortschritt 8/50
  [deberta] Step  6800 | Ep 8 | Macro-F1 0.6311 | kein Fortschritt 9/50
  [deberta] Step  6840 | Ep 8 | Macro-F1 0.6526 | kein Fortschritt 10/50
  [deberta] Step  6880 | Ep 8 | Macro-F1 0.6303 | kein Fortschritt 11/50
  [deberta] Step  6920 | Ep 8 | Macro-F1 0.6305 | kein Fortschritt 12/50
  [deberta] Step  6960 | Ep 8 | Macro-F1 0.5866 | kein Fortschritt 13/50
  [deberta] Step  7000 | Ep 8 | Macro-F1 0.5970 | kein Fortschritt 14/50
  [deberta] Step  7040 | Ep 8 | Macro-F1 0.6769 | kein Fortschritt 15/50
  [deberta] Step  7080 | Ep 8 | Macro-F1 0.6376 | kein Fortschritt 16/50
  [deberta] Step  7120 | Ep 8 | Macro-F1 0.6763 | kein Fortschritt 17/50
  [deberta] Step  7160 | Ep 8 | Macro-F1 0.6581 | kein Fortschritt 18/50
  [deberta] Step  7200 | Ep 8 | Macro-F1 0.5950 | kein Fortschritt 19/50
  [deberta] Step  7240 | Ep 8 | Macro-F1 0.6339 | kein Fortschritt 20/50
  [deberta] Step  7280 | Ep 8 | Macro-F1 0.6396 | kein Fortschritt 21/50
  [deberta] Step  7320 | Ep 8 | Macro-F1 0.6575 | kein Fortschritt 22/50
  [deberta] Step  7360 | Ep 8 | Macro-F1 0.6370 | kein Fortschritt 23/50
  [deberta] Step  7400 | Ep 8 | Macro-F1 0.6557 | kein Fortschritt 24/50
  [deberta] Step  7440 | Ep 8 | Macro-F1 0.6593 | kein Fortschritt 25/50
  [deberta] Step  7480 | Ep 8 | Macro-F1 0.6532 | kein Fortschritt 26/50
  [deberta] Step  7520 | Ep 8 | Macro-F1 0.6234 | kein Fortschritt 27/50
  [deberta] Step  7560 | Ep 8 | Macro-F1 0.6443 | kein Fortschritt 28/50
  [deberta] Step  7600 | Ep 8 | Macro-F1 0.6404 | kein Fortschritt 29/50
  [deberta] Step  7640 | Ep 8 | Macro-F1 0.6550 | kein Fortschritt 30/50
  [deberta] Step  7680 | Ep 9 | Macro-F1 0.6097 | kein Fortschritt 31/50
  [deberta] Step  7720 | Ep 9 | Macro-F1 0.6265 | kein Fortschritt 32/50
  [deberta] Step  7760 | Ep 9 | Macro-F1 0.6374 | kein Fortschritt 33/50
  [deberta] Step  7800 | Ep 9 | Macro-F1 0.6891 | OK Bestes Modell
  [deberta] Step  7840 | Ep 9 | Macro-F1 0.6831 | kein Fortschritt 1/50
  [deberta] Step  7880 | Ep 9 | Macro-F1 0.6681 | kein Fortschritt 2/50
  [deberta] Step  7920 | Ep 9 | Macro-F1 0.6454 | kein Fortschritt 3/50
  [deberta] Step  7960 | Ep 9 | Macro-F1 0.5928 | kein Fortschritt 4/50
  [deberta] Step  8000 | Ep 9 | Macro-F1 0.5989 | kein Fortschritt 5/50
  [deberta] Step  8040 | Ep 9 | Macro-F1 0.6341 | kein Fortschritt 6/50
  [deberta] Step  8080 | Ep 9 | Macro-F1 0.6133 | kein Fortschritt 7/50
  [deberta] Step  8120 | Ep 9 | Macro-F1 0.6546 | kein Fortschritt 8/50
  [deberta] Step  8160 | Ep 9 | Macro-F1 0.6776 | kein Fortschritt 9/50
  [deberta] Step  8200 | Ep 9 | Macro-F1 0.6599 | kein Fortschritt 10/50
  [deberta] Step  8240 | Ep 9 | Macro-F1 0.6646 | kein Fortschritt 11/50
  [deberta] Step  8280 | Ep 9 | Macro-F1 0.6523 | kein Fortschritt 12/50
  [deberta] Step  8320 | Ep 9 | Macro-F1 0.6519 | kein Fortschritt 13/50
  [deberta] Step  8360 | Ep 9 | Macro-F1 0.6543 | kein Fortschritt 14/50
  [deberta] Step  8400 | Ep 9 | Macro-F1 0.6726 | kein Fortschritt 15/50
  [deberta] Step  8440 | Ep 9 | Macro-F1 0.6293 | kein Fortschritt 16/50
  [deberta] Step  8480 | Ep 9 | Macro-F1 0.6300 | kein Fortschritt 17/50
  [deberta] Step  8520 | Ep 9 | Macro-F1 0.6550 | kein Fortschritt 18/50
  [deberta] Step  8560 | Ep 9 | Macro-F1 0.6384 | kein Fortschritt 19/50
  [deberta] Step  8600 | Ep 9 | Macro-F1 0.6343 | kein Fortschritt 20/50
  [deberta] Step  8640 | Ep 10 | Macro-F1 0.7131 | OK Bestes Modell
  [deberta] Step  8680 | Ep 10 | Macro-F1 0.7079 | kein Fortschritt 1/50
  [deberta] Step  8720 | Ep 10 | Macro-F1 0.6779 | kein Fortschritt 2/50
  [deberta] Step  8760 | Ep 10 | Macro-F1 0.6476 | kein Fortschritt 3/50
  [deberta] Step  8800 | Ep 10 | Macro-F1 0.6316 | kein Fortschritt 4/50
  [deberta] Step  8840 | Ep 10 | Macro-F1 0.6355 | kein Fortschritt 5/50
  [deberta] Step  8880 | Ep 10 | Macro-F1 0.6311 | kein Fortschritt 6/50
  [deberta] Step  8920 | Ep 10 | Macro-F1 0.6629 | kein Fortschritt 7/50
  [deberta] Step  8960 | Ep 10 | Macro-F1 0.6623 | kein Fortschritt 8/50
  [deberta] Step  9000 | Ep 10 | Macro-F1 0.6451 | kein Fortschritt 9/50
  [deberta] Step  9040 | Ep 10 | Macro-F1 0.6522 | kein Fortschritt 10/50
  [deberta] Step  9080 | Ep 10 | Macro-F1 0.6496 | kein Fortschritt 11/50
  [deberta] Step  9120 | Ep 10 | Macro-F1 0.6416 | kein Fortschritt 12/50
  [deberta] Step  9160 | Ep 10 | Macro-F1 0.6239 | kein Fortschritt 13/50
  [deberta] Step  9200 | Ep 10 | Macro-F1 0.6015 | kein Fortschritt 14/50
  [deberta] Step  9240 | Ep 10 | Macro-F1 0.6074 | kein Fortschritt 15/50
  [deberta] Step  9280 | Ep 10 | Macro-F1 0.6203 | kein Fortschritt 16/50
  [deberta] Step  9320 | Ep 10 | Macro-F1 0.6193 | kein Fortschritt 17/50
  [deberta] Step  9360 | Ep 10 | Macro-F1 0.6030 | kein Fortschritt 18/50
  [deberta] Step  9400 | Ep 10 | Macro-F1 0.5999 | kein Fortschritt 19/50
  [deberta] Step  9440 | Ep 10 | Macro-F1 0.5996 | kein Fortschritt 20/50
  [deberta] Step  9480 | Ep 10 | Macro-F1 0.6011 | kein Fortschritt 21/50
  [deberta] Step  9520 | Ep 10 | Macro-F1 0.6018 | kein Fortschritt 22/50
  [deberta] Step  9560 | Ep 10 | Macro-F1 0.6018 | kein Fortschritt 23/50

  [deberta] Finaler Report:
              precision    recall  f1-score   support

   agitation       0.50      0.71      0.59        14
   criticism       0.61      0.58      0.59       184
     nothing       0.94      0.95      0.94      1383
  subversive       0.67      0.80      0.73         5

    accuracy                           0.90      1586
   macro avg       0.68      0.76      0.71      1586
weighted avg       0.90      0.90      0.90      1586


─────────────────────────────────────────────────────────────────
  ENSEMBLE SOFT-VOTING (Val-Set)
─────────────────────────────────────────────────────────────────

  Ensemble Macro-F1 (Val): 0.69652

  Einzelmodelle zum Vergleich:
    gbert        Macro-F1: 0.67636
    xlmr         Macro-F1: 0.40101
    deberta      Macro-F1: 0.71311

  Ensemble Classification Report:
              precision    recall  f1-score   support

   agitation       0.78      0.50      0.61        14
   criticism       0.63      0.59      0.61       184
     nothing       0.94      0.95      0.95      1383
  subversive       0.50      0.80      0.62         5

    accuracy                           0.91      1586
   macro avg       0.71      0.71      0.70      1586
weighted avg       0.91      0.91      0.91      1586


─────────────────────────────────────────────────────────────────
  TESTSET-VORHERSAGEN
─────────────────────────────────────────────────────────────────
  Lade gbert fuer Testvorhersage ...
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
  Lade xlmr fuer Testvorhersage ...
  Lade deberta fuer Testvorhersage ...

  Testvorhersagen gespeichert: model_dataset_gridsearch/all5_aug-both/predictions_test.csv
    nothing            869
    criticism          109
    agitation           15
    subversive           6

  Ergebnis angehaengt: /u/halle/ophe/home_at/Desktop/nlp/Sophie/results.csv

=================================================================
  ENSEMBLE-TRAINING ABGESCHLOSSEN
=================================================================
  Ensemble Macro-F1 (Val):  0.69652
    gbert        0.67636
    xlmr         0.40101
    deberta      0.71311

  Alle Dateien in: /u/halle/ophe/home_at/Desktop/nlp/Sophie/model_dataset_gridsearch/all5_aug-both
  predictions_test.csv | ensemble_config.json | results.csv

