
=================================================================
  GermEval 2026 - Subtask 2  |  Ensemble Training
=================================================================
  Device:        cuda
  Augmentierung: paraphrase
  4. Modell:     keins
  Ausgabe:       /u/halle/ophe/home_at/Desktop/nlp/Sophie/model_dataset_gridsearch/all5_aug-paraphrase

  Lade Daten ...
  OK Hauptdaten (train_minimal)   15,853 Zeilen  (train_minimal.csv)
  OK Testdaten (test_minimal)        999 Zeilen  (test_minimal.csv)
  OK LLM-Paraphrasen                 428 Zeilen  (paraphrased.csv)

  Trainingsdaten nach Augmentierung:
    nothing         13,818  ( 84.9%)  ██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
    criticism        1,839  ( 11.3%)  ██████████████████
    agitation          433  (  2.7%)  ████
    subversive         191  (  1.2%)  █

  Train: 14,695  |  Val: 1,586  (Val-Set enthaelt keine augmentierten Daten)

  Klassen (4): ['agitation', 'criticism', 'nothing', 'subversive']

  Class Weights:
    agitation       27.65
    criticism       2.16
    nothing         0.29
    subversive      74.31

=================================================================
  STARTE ENSEMBLE-TRAINING (3 Modelle)
=================================================================

─────────────────────────────────────────────────────────────────
  Trainiere: deepset/gbert-large
─────────────────────────────────────────────────────────────────
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
  Training: max 10 Epochs | Eval alle 40 Steps | Patience 50
  [deberta] Step  1480 | Ep 2 | Macro-F1 0.4896 | OK Bestes Modell
  [deberta] Step  1520 | Ep 2 | Macro-F1 0.4482 | kein Fortschritt 1/50
  [deberta] Step  1560 | Ep 2 | Macro-F1 0.4941 | OK Bestes Modell
  [deberta] Step  1600 | Ep 2 | Macro-F1 0.5406 | OK Bestes Modell
  [deberta] Step  1640 | Ep 2 | Macro-F1 0.4623 | kein Fortschritt 1/50
  [deberta] Step  1680 | Ep 2 | Macro-F1 0.4788 | kein Fortschritt 2/50
  [deberta] Step  1720 | Ep 2 | Macro-F1 0.4681 | kein Fortschritt 3/50
  [deberta] Step  1760 | Ep 2 | Macro-F1 0.4550 | kein Fortschritt 4/50
  [deberta] Step  1800 | Ep 2 | Macro-F1 0.4491 | kein Fortschritt 5/50
  [deberta] Step  1840 | Ep 3 | Macro-F1 0.4407 | kein Fortschritt 6/50
  [deberta] Step  1880 | Ep 3 | Macro-F1 0.4019 | kein Fortschritt 7/50
  [deberta] Step  1920 | Ep 3 | Macro-F1 0.4802 | kein Fortschritt 8/50
  [deberta] Step  1960 | Ep 3 | Macro-F1 0.4456 | kein Fortschritt 9/50
  [deberta] Step  2000 | Ep 3 | Macro-F1 0.4641 | kein Fortschritt 10/50
  [deberta] Step  2040 | Ep 3 | Macro-F1 0.5407 | OK Bestes Modell
  [deberta] Step  2080 | Ep 3 | Macro-F1 0.5169 | kein Fortschritt 1/50
  [deberta] Step  2120 | Ep 3 | Macro-F1 0.4451 | kein Fortschritt 2/50
  [deberta] Step  2160 | Ep 3 | Macro-F1 0.4807 | kein Fortschritt 3/50
  [deberta] Step  2200 | Ep 3 | Macro-F1 0.5093 | kein Fortschritt 4/50
  [deberta] Step  2240 | Ep 3 | Macro-F1 0.5051 | kein Fortschritt 5/50
  [deberta] Step  2280 | Ep 3 | Macro-F1 0.4836 | kein Fortschritt 6/50
  [deberta] Step  2320 | Ep 3 | Macro-F1 0.4773 | kein Fortschritt 7/50
  [deberta] Step  2360 | Ep 3 | Macro-F1 0.5390 | kein Fortschritt 8/50
  [deberta] Step  2400 | Ep 3 | Macro-F1 0.4679 | kein Fortschritt 9/50
  [deberta] Step  2440 | Ep 3 | Macro-F1 0.5261 | kein Fortschritt 10/50
  [deberta] Step  2480 | Ep 3 | Macro-F1 0.4665 | kein Fortschritt 11/50
  [deberta] Step  2520 | Ep 3 | Macro-F1 0.5106 | kein Fortschritt 12/50
  [deberta] Step  2560 | Ep 3 | Macro-F1 0.4770 | kein Fortschritt 13/50
  [deberta] Step  2600 | Ep 3 | Macro-F1 0.4414 | kein Fortschritt 14/50
  [deberta] Step  2640 | Ep 3 | Macro-F1 0.4714 | kein Fortschritt 15/50
  [deberta] Step  2680 | Ep 3 | Macro-F1 0.5527 | OK Bestes Modell
  [deberta] Step  2720 | Ep 3 | Macro-F1 0.5267 | kein Fortschritt 1/50
  [deberta] Step  2760 | Ep 4 | Macro-F1 0.4964 | kein Fortschritt 2/50
  [deberta] Step  2800 | Ep 4 | Macro-F1 0.5172 | kein Fortschritt 3/50
  [deberta] Step  2840 | Ep 4 | Macro-F1 0.5128 | kein Fortschritt 4/50
  [deberta] Step  2880 | Ep 4 | Macro-F1 0.5282 | kein Fortschritt 5/50
  [deberta] Step  2920 | Ep 4 | Macro-F1 0.4875 | kein Fortschritt 6/50
  [deberta] Step  2960 | Ep 4 | Macro-F1 0.5658 | OK Bestes Modell
  [deberta] Step  3000 | Ep 4 | Macro-F1 0.5397 | kein Fortschritt 1/50
  [deberta] Step  3040 | Ep 4 | Macro-F1 0.5180 | kein Fortschritt 2/50
  [deberta] Step  3080 | Ep 4 | Macro-F1 0.6320 | OK Bestes Modell
  [deberta] Step  3120 | Ep 4 | Macro-F1 0.5860 | kein Fortschritt 1/50
  [deberta] Step  3160 | Ep 4 | Macro-F1 0.5944 | kein Fortschritt 2/50
  [deberta] Step  3200 | Ep 4 | Macro-F1 0.5725 | kein Fortschritt 3/50
  [deberta] Step  3240 | Ep 4 | Macro-F1 0.5833 | kein Fortschritt 4/50
  [deberta] Step  3280 | Ep 4 | Macro-F1 0.5329 | kein Fortschritt 5/50
  [deberta] Step  3320 | Ep 4 | Macro-F1 0.5488 | kein Fortschritt 6/50
  [deberta] Step  3360 | Ep 4 | Macro-F1 0.5107 | kein Fortschritt 7/50
  [deberta] Step  3400 | Ep 4 | Macro-F1 0.6201 | kein Fortschritt 8/50
  [deberta] Step  3440 | Ep 4 | Macro-F1 0.5692 | kein Fortschritt 9/50
  [deberta] Step  3480 | Ep 4 | Macro-F1 0.6230 | kein Fortschritt 10/50
  [deberta] Step  3520 | Ep 4 | Macro-F1 0.6311 | kein Fortschritt 11/50
  [deberta] Step  3560 | Ep 4 | Macro-F1 0.6654 | OK Bestes Modell
  [deberta] Step  3600 | Ep 4 | Macro-F1 0.5719 | kein Fortschritt 1/50
  [deberta] Step  3640 | Ep 4 | Macro-F1 0.5753 | kein Fortschritt 2/50
  [deberta] Step  3680 | Ep 5 | Macro-F1 0.5923 | kein Fortschritt 3/50
  [deberta] Step  3720 | Ep 5 | Macro-F1 0.6386 | kein Fortschritt 4/50
  [deberta] Step  3760 | Ep 5 | Macro-F1 0.6281 | kein Fortschritt 5/50
  [deberta] Step  3800 | Ep 5 | Macro-F1 0.6484 | kein Fortschritt 6/50
  [deberta] Step  3840 | Ep 5 | Macro-F1 0.6117 | kein Fortschritt 7/50
  [deberta] Step  3880 | Ep 5 | Macro-F1 0.5899 | kein Fortschritt 8/50
  [deberta] Step  3920 | Ep 5 | Macro-F1 0.6528 | kein Fortschritt 9/50
  [deberta] Step  3960 | Ep 5 | Macro-F1 0.5720 | kein Fortschritt 10/50
  [deberta] Step  4000 | Ep 5 | Macro-F1 0.5952 | kein Fortschritt 11/50
  [deberta] Step  4040 | Ep 5 | Macro-F1 0.5574 | kein Fortschritt 12/50
  [deberta] Step  4080 | Ep 5 | Macro-F1 0.6018 | kein Fortschritt 13/50
  [deberta] Step  4120 | Ep 5 | Macro-F1 0.6179 | kein Fortschritt 14/50
  [deberta] Step  4160 | Ep 5 | Macro-F1 0.6070 | kein Fortschritt 15/50
  [deberta] Step  4200 | Ep 5 | Macro-F1 0.5871 | kein Fortschritt 16/50
  [deberta] Step  4240 | Ep 5 | Macro-F1 0.6213 | kein Fortschritt 17/50
  [deberta] Step  4280 | Ep 5 | Macro-F1 0.6260 | kein Fortschritt 18/50
  [deberta] Step  4320 | Ep 5 | Macro-F1 0.6346 | kein Fortschritt 19/50
  [deberta] Step  4360 | Ep 5 | Macro-F1 0.6002 | kein Fortschritt 20/50
  [deberta] Step  4400 | Ep 5 | Macro-F1 0.6092 | kein Fortschritt 21/50
  [deberta] Step  4440 | Ep 5 | Macro-F1 0.6232 | kein Fortschritt 22/50
  [deberta] Step  4480 | Ep 5 | Macro-F1 0.6452 | kein Fortschritt 23/50
  [deberta] Step  4520 | Ep 5 | Macro-F1 0.5951 | kein Fortschritt 24/50
  [deberta] Step  4560 | Ep 5 | Macro-F1 0.6174 | kein Fortschritt 25/50
  [deberta] Step  4600 | Ep 6 | Macro-F1 0.5926 | kein Fortschritt 26/50
  [deberta] Step  4640 | Ep 6 | Macro-F1 0.5965 | kein Fortschritt 27/50
  [deberta] Step  4680 | Ep 6 | Macro-F1 0.6491 | kein Fortschritt 28/50
  [deberta] Step  4720 | Ep 6 | Macro-F1 0.5625 | kein Fortschritt 29/50
  [deberta] Step  4760 | Ep 6 | Macro-F1 0.6744 | OK Bestes Modell
  [deberta] Step  4800 | Ep 6 | Macro-F1 0.5985 | kein Fortschritt 1/50
  [deberta] Step  4840 | Ep 6 | Macro-F1 0.6851 | OK Bestes Modell
  [deberta] Step  4880 | Ep 6 | Macro-F1 0.5927 | kein Fortschritt 1/50
  [deberta] Step  4920 | Ep 6 | Macro-F1 0.6505 | kein Fortschritt 2/50
  [deberta] Step  4960 | Ep 6 | Macro-F1 0.6338 | kein Fortschritt 3/50
  [deberta] Step  5000 | Ep 6 | Macro-F1 0.6330 | kein Fortschritt 4/50
  [deberta] Step  5040 | Ep 6 | Macro-F1 0.6538 | kein Fortschritt 5/50
  [deberta] Step  5080 | Ep 6 | Macro-F1 0.6640 | kein Fortschritt 6/50
  [deberta] Step  5120 | Ep 6 | Macro-F1 0.6639 | kein Fortschritt 7/50
  [deberta] Step  5160 | Ep 6 | Macro-F1 0.7000 | OK Bestes Modell
  [deberta] Step  5200 | Ep 6 | Macro-F1 0.6491 | kein Fortschritt 1/50
  [deberta] Step  5240 | Ep 6 | Macro-F1 0.6522 | kein Fortschritt 2/50
  [deberta] Step  5280 | Ep 6 | Macro-F1 0.6263 | kein Fortschritt 3/50
  [deberta] Step  5320 | Ep 6 | Macro-F1 0.6625 | kein Fortschritt 4/50
  [deberta] Step  5360 | Ep 6 | Macro-F1 0.6338 | kein Fortschritt 5/50
  [deberta] Step  5400 | Ep 6 | Macro-F1 0.5879 | kein Fortschritt 6/50
  [deberta] Step  5440 | Ep 6 | Macro-F1 0.6555 | kein Fortschritt 7/50
  [deberta] Step  5480 | Ep 6 | Macro-F1 0.5856 | kein Fortschritt 8/50
  [deberta] Step  5520 | Ep 7 | Macro-F1 0.6344 | kein Fortschritt 9/50
  [deberta] Step  5560 | Ep 7 | Macro-F1 0.6511 | kein Fortschritt 10/50
  [deberta] Step  5600 | Ep 7 | Macro-F1 0.6460 | kein Fortschritt 11/50
  [deberta] Step  5640 | Ep 7 | Macro-F1 0.6590 | kein Fortschritt 12/50
  [deberta] Step  5680 | Ep 7 | Macro-F1 0.6955 | kein Fortschritt 13/50
  [deberta] Step  5720 | Ep 7 | Macro-F1 0.6612 | kein Fortschritt 14/50
  [deberta] Step  5760 | Ep 7 | Macro-F1 0.6227 | kein Fortschritt 15/50
  [deberta] Step  5800 | Ep 7 | Macro-F1 0.6512 | kein Fortschritt 16/50
  [deberta] Step  5840 | Ep 7 | Macro-F1 0.6235 | kein Fortschritt 17/50
  [deberta] Step  5880 | Ep 7 | Macro-F1 0.6406 | kein Fortschritt 18/50
  [deberta] Step  5920 | Ep 7 | Macro-F1 0.6298 | kein Fortschritt 19/50
  [deberta] Step  5960 | Ep 7 | Macro-F1 0.6503 | kein Fortschritt 20/50
  [deberta] Step  6000 | Ep 7 | Macro-F1 0.6433 | kein Fortschritt 21/50
  [deberta] Step  6040 | Ep 7 | Macro-F1 0.6275 | kein Fortschritt 22/50
  [deberta] Step  6080 | Ep 7 | Macro-F1 0.7034 | OK Bestes Modell
  [deberta] Step  6120 | Ep 7 | Macro-F1 0.5951 | kein Fortschritt 1/50
  [deberta] Step  6160 | Ep 7 | Macro-F1 0.6853 | kein Fortschritt 2/50
  [deberta] Step  6200 | Ep 7 | Macro-F1 0.6914 | kein Fortschritt 3/50
  [deberta] Step  6240 | Ep 7 | Macro-F1 0.6405 | kein Fortschritt 4/50
  [deberta] Step  6280 | Ep 7 | Macro-F1 0.6660 | kein Fortschritt 5/50
  [deberta] Step  6320 | Ep 7 | Macro-F1 0.6627 | kein Fortschritt 6/50
  [deberta] Step  6360 | Ep 7 | Macro-F1 0.6070 | kein Fortschritt 7/50
  [deberta] Step  6400 | Ep 7 | Macro-F1 0.6666 | kein Fortschritt 8/50
  [deberta] Step  6440 | Ep 8 | Macro-F1 0.6959 | kein Fortschritt 9/50
  [deberta] Step  6480 | Ep 8 | Macro-F1 0.7273 | OK Bestes Modell
  [deberta] Step  6520 | Ep 8 | Macro-F1 0.6591 | kein Fortschritt 1/50
  [deberta] Step  6560 | Ep 8 | Macro-F1 0.6650 | kein Fortschritt 2/50
  [deberta] Step  6600 | Ep 8 | Macro-F1 0.6429 | kein Fortschritt 3/50
  [deberta] Step  6640 | Ep 8 | Macro-F1 0.7241 | kein Fortschritt 4/50
  [deberta] Step  6680 | Ep 8 | Macro-F1 0.6886 | kein Fortschritt 5/50
  [deberta] Step  6720 | Ep 8 | Macro-F1 0.6737 | kein Fortschritt 6/50
  [deberta] Step  6760 | Ep 8 | Macro-F1 0.7317 | OK Bestes Modell
  [deberta] Step  6800 | Ep 8 | Macro-F1 0.7080 | kein Fortschritt 1/50
  [deberta] Step  6840 | Ep 8 | Macro-F1 0.6842 | kein Fortschritt 2/50
  [deberta] Step  6880 | Ep 8 | Macro-F1 0.6827 | kein Fortschritt 3/50
  [deberta] Step  6920 | Ep 8 | Macro-F1 0.6631 | kein Fortschritt 4/50
  [deberta] Step  6960 | Ep 8 | Macro-F1 0.6411 | kein Fortschritt 5/50
  [deberta] Step  7000 | Ep 8 | Macro-F1 0.6640 | kein Fortschritt 6/50
  [deberta] Step  7040 | Ep 8 | Macro-F1 0.6833 | kein Fortschritt 7/50
  [deberta] Step  7080 | Ep 8 | Macro-F1 0.7172 | kein Fortschritt 8/50
  [deberta] Step  7120 | Ep 8 | Macro-F1 0.6948 | kein Fortschritt 9/50
  [deberta] Step  7160 | Ep 8 | Macro-F1 0.7095 | kein Fortschritt 10/50
  [deberta] Step  7200 | Ep 8 | Macro-F1 0.7164 | kein Fortschritt 11/50
  [deberta] Step  7240 | Ep 8 | Macro-F1 0.6702 | kein Fortschritt 12/50
  [deberta] Step  7280 | Ep 8 | Macro-F1 0.7067 | kein Fortschritt 13/50
  [deberta] Step  7320 | Ep 8 | Macro-F1 0.7092 | kein Fortschritt 14/50
  [deberta] Step  7360 | Ep 9 | Macro-F1 0.7347 | OK Bestes Modell
  [deberta] Step  7400 | Ep 9 | Macro-F1 0.6860 | kein Fortschritt 1/50
  [deberta] Step  7440 | Ep 9 | Macro-F1 0.6380 | kein Fortschritt 2/50
  [deberta] Step  7480 | Ep 9 | Macro-F1 0.6997 | kein Fortschritt 3/50
  [deberta] Step  7520 | Ep 9 | Macro-F1 0.7023 | kein Fortschritt 4/50
  [deberta] Step  7560 | Ep 9 | Macro-F1 0.6930 | kein Fortschritt 5/50
  [deberta] Step  7600 | Ep 9 | Macro-F1 0.6890 | kein Fortschritt 6/50
  [deberta] Step  7640 | Ep 9 | Macro-F1 0.7088 | kein Fortschritt 7/50
  [deberta] Step  7680 | Ep 9 | Macro-F1 0.7102 | kein Fortschritt 8/50
  [deberta] Step  7720 | Ep 9 | Macro-F1 0.6958 | kein Fortschritt 9/50
  [deberta] Step  7760 | Ep 9 | Macro-F1 0.6894 | kein Fortschritt 10/50
  [deberta] Step  7800 | Ep 9 | Macro-F1 0.7083 | kein Fortschritt 11/50
  [deberta] Step  7840 | Ep 9 | Macro-F1 0.7201 | kein Fortschritt 12/50
  [deberta] Step  7880 | Ep 9 | Macro-F1 0.6718 | kein Fortschritt 13/50
  [deberta] Step  7920 | Ep 9 | Macro-F1 0.6749 | kein Fortschritt 14/50
  [deberta] Step  7960 | Ep 9 | Macro-F1 0.6791 | kein Fortschritt 15/50
  [deberta] Step  8000 | Ep 9 | Macro-F1 0.6829 | kein Fortschritt 16/50
  [deberta] Step  8040 | Ep 9 | Macro-F1 0.6717 | kein Fortschritt 17/50
  [deberta] Step  8080 | Ep 9 | Macro-F1 0.6804 | kein Fortschritt 18/50
  [deberta] Step  8120 | Ep 9 | Macro-F1 0.6735 | kein Fortschritt 19/50
  [deberta] Step  8160 | Ep 9 | Macro-F1 0.6673 | kein Fortschritt 20/50
  [deberta] Step  8200 | Ep 9 | Macro-F1 0.6682 | kein Fortschritt 21/50
  [deberta] Step  8240 | Ep 9 | Macro-F1 0.6975 | kein Fortschritt 22/50
  [deberta] Step  8280 | Ep 10 | Macro-F1 0.6809 | kein Fortschritt 23/50
  [deberta] Step  8320 | Ep 10 | Macro-F1 0.6819 | kein Fortschritt 24/50
  [deberta] Step  8360 | Ep 10 | Macro-F1 0.6512 | kein Fortschritt 25/50
  [deberta] Step  8400 | Ep 10 | Macro-F1 0.6824 | kein Fortschritt 26/50
  [deberta] Step  8440 | Ep 10 | Macro-F1 0.6963 | kein Fortschritt 27/50
  [deberta] Step  8480 | Ep 10 | Macro-F1 0.6797 | kein Fortschritt 28/50
  [deberta] Step  8520 | Ep 10 | Macro-F1 0.6798 | kein Fortschritt 29/50
  [deberta] Step  8560 | Ep 10 | Macro-F1 0.6829 | kein Fortschritt 30/50
  [deberta] Step  8600 | Ep 10 | Macro-F1 0.6812 | kein Fortschritt 31/50
  [deberta] Step  8640 | Ep 10 | Macro-F1 0.6791 | kein Fortschritt 32/50
  [deberta] Step  8680 | Ep 10 | Macro-F1 0.7182 | kein Fortschritt 33/50
  [deberta] Step  8720 | Ep 10 | Macro-F1 0.6796 | kein Fortschritt 34/50
  [deberta] Step  8760 | Ep 10 | Macro-F1 0.6806 | kein Fortschritt 35/50
  [deberta] Step  8800 | Ep 10 | Macro-F1 0.6744 | kein Fortschritt 36/50
  [deberta] Step  8840 | Ep 10 | Macro-F1 0.6826 | kein Fortschritt 37/50
  [deberta] Step  8880 | Ep 10 | Macro-F1 0.6806 | kein Fortschritt 38/50
  [deberta] Step  8920 | Ep 10 | Macro-F1 0.6815 | kein Fortschritt 39/50
  [deberta] Step  8960 | Ep 10 | Macro-F1 0.6812 | kein Fortschritt 40/50
  [deberta] Step  9000 | Ep 10 | Macro-F1 0.6803 | kein Fortschritt 41/50
  [deberta] Step  9040 | Ep 10 | Macro-F1 0.6828 | kein Fortschritt 42/50
  [deberta] Step  9080 | Ep 10 | Macro-F1 0.6812 | kein Fortschritt 43/50
  [deberta] Step  9120 | Ep 10 | Macro-F1 0.6811 | kein Fortschritt 44/50
  [deberta] Step  9160 | Ep 10 | Macro-F1 0.6811 | kein Fortschritt 45/50

  [deberta] Finaler Report:
              precision    recall  f1-score   support

   agitation       0.80      0.57      0.67        14
   criticism       0.57      0.63      0.60       184
     nothing       0.95      0.94      0.94      1383
  subversive       0.67      0.80      0.73         5

    accuracy                           0.90      1586
   macro avg       0.75      0.74      0.73      1586
weighted avg       0.90      0.90      0.90      1586


─────────────────────────────────────────────────────────────────
  ENSEMBLE SOFT-VOTING (Val-Set)
─────────────────────────────────────────────────────────────────

  Ensemble Macro-F1 (Val): 0.76038

  Einzelmodelle zum Vergleich:
    gbert        Macro-F1: 0.72766
    xlmr         Macro-F1: 0.31492
    deberta      Macro-F1: 0.73466

  Ensemble Classification Report:
              precision    recall  f1-score   support

   agitation       1.00      0.57      0.73        14
   criticism       0.63      0.64      0.64       184
     nothing       0.95      0.95      0.95      1383
  subversive       0.67      0.80      0.73         5

    accuracy                           0.91      1586
   macro avg       0.81      0.74      0.76      1586
weighted avg       0.91      0.91      0.91      1586


─────────────────────────────────────────────────────────────────
  TESTSET-VORHERSAGEN
─────────────────────────────────────────────────────────────────
  Lade gbert fuer Testvorhersage ...
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
  Lade xlmr fuer Testvorhersage ...
  Lade deberta fuer Testvorhersage ...

  Testvorhersagen gespeichert: model_dataset_gridsearch/all5_aug-paraphrase/predictions_test.csv
    nothing            868
    criticism          108
    agitation           18
    subversive           5

  Ergebnis angehaengt: /u/halle/ophe/home_at/Desktop/nlp/Sophie/results.csv

=================================================================
  ENSEMBLE-TRAINING ABGESCHLOSSEN
=================================================================
  Ensemble Macro-F1 (Val):  0.76038
    gbert        0.72766
    xlmr         0.31492
    deberta      0.73466

  Alle Dateien in: /u/halle/ophe/home_at/Desktop/nlp/Sophie/model_dataset_gridsearch/all5_aug-paraphrase
  predictions_test.csv | ensemble_config.json | results.csv

