
=================================================================
  GermEval 2026 - Subtask 2  |  Ensemble Training
=================================================================
  Device:        cuda
  Augmentierung: none
  4. Modell:     keins
  Ausgabe:       /u/halle/ophe/home_at/Desktop/nlp/Sophie/model_dataset_gridsearch/all5_aug-none

  Lade Daten ...
  OK Hauptdaten (train_minimal)   15,853 Zeilen  (train_minimal.csv)
  OK Testdaten (test_minimal)        999 Zeilen  (test_minimal.csv)

  Trainingsdaten nach Augmentierung:
    nothing         13,818  ( 87.2%)  ██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
    criticism        1,839  ( 11.6%)  ██████████████████
    agitation          143  (  0.9%)  █
    subversive          53  (  0.3%)  

  Train: 14,267  |  Val: 1,586  (Val-Set enthaelt keine augmentierten Daten)

  Klassen (4): ['agitation', 'criticism', 'nothing', 'subversive']

  Class Weights:
    agitation       27.65
    criticism       2.16
    nothing         0.29
    subversive      74.31

=================================================================
  STARTE ENSEMBLE-TRAINING (3 Modelle)
=================================================================

─────────────────────────────────────────────────────────────────
  Trainiere: deepset/gbert-large
─────────────────────────────────────────────────────────────────
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
  Training: max 10 Epochs | Eval alle 40 Steps | Patience 50
  [xlmr] Step  5280 | Ep 6 | Macro-F1 0.4644 | kein Fortschritt 37/50
  [xlmr] Step  5320 | Ep 6 | Macro-F1 0.4707 | kein Fortschritt 38/50
  [xlmr] Step  5360 | Ep 7 | Macro-F1 0.5455 | kein Fortschritt 39/50
  [xlmr] Step  5400 | Ep 7 | Macro-F1 0.4827 | kein Fortschritt 40/50
  [xlmr] Step  5440 | Ep 7 | Macro-F1 0.4831 | kein Fortschritt 41/50
  [xlmr] Step  5480 | Ep 7 | Macro-F1 0.5363 | kein Fortschritt 42/50
  [xlmr] Step  5520 | Ep 7 | Macro-F1 0.4857 | kein Fortschritt 43/50
  [xlmr] Step  5560 | Ep 7 | Macro-F1 0.4982 | kein Fortschritt 44/50
  [xlmr] Step  5600 | Ep 7 | Macro-F1 0.4645 | kein Fortschritt 45/50
  [xlmr] Step  5640 | Ep 7 | Macro-F1 0.4801 | kein Fortschritt 46/50
  [xlmr] Step  5680 | Ep 7 | Macro-F1 0.4472 | kein Fortschritt 47/50
  [xlmr] Step  5720 | Ep 7 | Macro-F1 0.4505 | kein Fortschritt 48/50
  [xlmr] Step  5760 | Ep 7 | Macro-F1 0.4558 | kein Fortschritt 49/50
  [xlmr] Step  5800 | Ep 7 | Macro-F1 0.4696 | kein Fortschritt 50/50
  [xlmr] Early Stopping (beste Macro-F1: 0.5534)

  [xlmr] Finaler Report:
              precision    recall  f1-score   support

   agitation       1.00      0.29      0.44        14
   criticism       0.58      0.57      0.57       184
     nothing       0.94      0.95      0.94      1383
  subversive       0.18      0.40      0.25         5

    accuracy                           0.90      1586
   macro avg       0.68      0.55      0.55      1586
weighted avg       0.90      0.90      0.90      1586


─────────────────────────────────────────────────────────────────
  Trainiere: microsoft/deberta-v3-base
─────────────────────────────────────────────────────────────────
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
  Training: max 10 Epochs | Eval alle 40 Steps | Patience 50
  [deberta] Step    40 | Ep 1 | Macro-F1 0.2329 | OK Bestes Modell
  [deberta] Step    80 | Ep 1 | Macro-F1 0.2329 | kein Fortschritt 1/50
  [deberta] Step   120 | Ep 1 | Macro-F1 0.2598 | OK Bestes Modell
  [deberta] Step   160 | Ep 1 | Macro-F1 0.2935 | OK Bestes Modell
  [deberta] Step   200 | Ep 1 | Macro-F1 0.3131 | OK Bestes Modell
  [deberta] Step   240 | Ep 1 | Macro-F1 0.3419 | OK Bestes Modell
  [deberta] Step   280 | Ep 1 | Macro-F1 0.2842 | kein Fortschritt 1/50
  [deberta] Step   320 | Ep 1 | Macro-F1 0.3656 | OK Bestes Modell
  [deberta] Step   360 | Ep 1 | Macro-F1 0.3443 | kein Fortschritt 1/50
  [deberta] Step   400 | Ep 1 | Macro-F1 0.3772 | OK Bestes Modell
  [deberta] Step   440 | Ep 1 | Macro-F1 0.3684 | kein Fortschritt 1/50
  [deberta] Step   480 | Ep 1 | Macro-F1 0.3751 | kein Fortschritt 2/50
  [deberta] Step   520 | Ep 1 | Macro-F1 0.3752 | kein Fortschritt 3/50
  [deberta] Step   560 | Ep 1 | Macro-F1 0.3232 | kein Fortschritt 4/50
  [deberta] Step   600 | Ep 1 | Macro-F1 0.3678 | kein Fortschritt 5/50
  [deberta] Step   640 | Ep 1 | Macro-F1 0.3510 | kein Fortschritt 6/50
  [deberta] Step   680 | Ep 1 | Macro-F1 0.3700 | kein Fortschritt 7/50
  [deberta] Step   720 | Ep 1 | Macro-F1 0.3621 | kein Fortschritt 8/50
  [deberta] Step   760 | Ep 1 | Macro-F1 0.3432 | kein Fortschritt 9/50
  [deberta] Step   800 | Ep 1 | Macro-F1 0.3756 | kein Fortschritt 10/50
  [deberta] Step   840 | Ep 1 | Macro-F1 0.3625 | kein Fortschritt 11/50
  [deberta] Step   880 | Ep 1 | Macro-F1 0.3513 | kein Fortschritt 12/50
  [deberta] Step   920 | Ep 2 | Macro-F1 0.3802 | OK Bestes Modell
  [deberta] Step   960 | Ep 2 | Macro-F1 0.3786 | kein Fortschritt 1/50
  [deberta] Step  1000 | Ep 2 | Macro-F1 0.3765 | kein Fortschritt 2/50
  [deberta] Step  1040 | Ep 2 | Macro-F1 0.3705 | kein Fortschritt 3/50
  [deberta] Step  1080 | Ep 2 | Macro-F1 0.3682 | kein Fortschritt 4/50
  [deberta] Step  1120 | Ep 2 | Macro-F1 0.4429 | OK Bestes Modell
  [deberta] Step  1160 | Ep 2 | Macro-F1 0.4358 | kein Fortschritt 1/50
  [deberta] Step  1200 | Ep 2 | Macro-F1 0.4915 | OK Bestes Modell
  [deberta] Step  1240 | Ep 2 | Macro-F1 0.4808 | kein Fortschritt 1/50
  [deberta] Step  1280 | Ep 2 | Macro-F1 0.4875 | kein Fortschritt 2/50
  [deberta] Step  1320 | Ep 2 | Macro-F1 0.4448 | kein Fortschritt 3/50
  [deberta] Step  1360 | Ep 2 | Macro-F1 0.4600 | kein Fortschritt 4/50
  [deberta] Step  1400 | Ep 2 | Macro-F1 0.4934 | OK Bestes Modell
  [deberta] Step  1440 | Ep 2 | Macro-F1 0.4319 | kein Fortschritt 1/50
  [deberta] Step  1480 | Ep 2 | Macro-F1 0.4684 | kein Fortschritt 2/50
  [deberta] Step  1520 | Ep 2 | Macro-F1 0.4752 | kein Fortschritt 3/50
  [deberta] Step  1560 | Ep 2 | Macro-F1 0.4675 | kein Fortschritt 4/50
  [deberta] Step  1600 | Ep 2 | Macro-F1 0.4751 | kein Fortschritt 5/50
  [deberta] Step  1640 | Ep 2 | Macro-F1 0.5001 | OK Bestes Modell
  [deberta] Step  1680 | Ep 2 | Macro-F1 0.4885 | kein Fortschritt 1/50
  [deberta] Step  1720 | Ep 2 | Macro-F1 0.4289 | kein Fortschritt 2/50
  [deberta] Step  1760 | Ep 2 | Macro-F1 0.4597 | kein Fortschritt 3/50
  [deberta] Step  1800 | Ep 3 | Macro-F1 0.4878 | kein Fortschritt 4/50
  [deberta] Step  1840 | Ep 3 | Macro-F1 0.4966 | kein Fortschritt 5/50
  [deberta] Step  1880 | Ep 3 | Macro-F1 0.4883 | kein Fortschritt 6/50
  [deberta] Step  1920 | Ep 3 | Macro-F1 0.4775 | kein Fortschritt 7/50
  [deberta] Step  1960 | Ep 3 | Macro-F1 0.4953 | kein Fortschritt 8/50
  [deberta] Step  2000 | Ep 3 | Macro-F1 0.4933 | kein Fortschritt 9/50
  [deberta] Step  2040 | Ep 3 | Macro-F1 0.4932 | kein Fortschritt 10/50
  [deberta] Step  2080 | Ep 3 | Macro-F1 0.4936 | kein Fortschritt 11/50
  [deberta] Step  2120 | Ep 3 | Macro-F1 0.4635 | kein Fortschritt 12/50
  [deberta] Step  2160 | Ep 3 | Macro-F1 0.3839 | kein Fortschritt 13/50
  [deberta] Step  2200 | Ep 3 | Macro-F1 0.4655 | kein Fortschritt 14/50
  [deberta] Step  2240 | Ep 3 | Macro-F1 0.4848 | kein Fortschritt 15/50
  [deberta] Step  2280 | Ep 3 | Macro-F1 0.4714 | kein Fortschritt 16/50
  [deberta] Step  2320 | Ep 3 | Macro-F1 0.4854 | kein Fortschritt 17/50
  [deberta] Step  2360 | Ep 3 | Macro-F1 0.4722 | kein Fortschritt 18/50
  [deberta] Step  2400 | Ep 3 | Macro-F1 0.4725 | kein Fortschritt 19/50
  [deberta] Step  2440 | Ep 3 | Macro-F1 0.4448 | kein Fortschritt 20/50
  [deberta] Step  2480 | Ep 3 | Macro-F1 0.4842 | kein Fortschritt 21/50
  [deberta] Step  2520 | Ep 3 | Macro-F1 0.5010 | OK Bestes Modell
  [deberta] Step  2560 | Ep 3 | Macro-F1 0.4928 | kein Fortschritt 1/50
  [deberta] Step  2600 | Ep 3 | Macro-F1 0.4447 | kein Fortschritt 2/50
  [deberta] Step  2640 | Ep 3 | Macro-F1 0.4972 | kein Fortschritt 3/50
  [deberta] Step  2680 | Ep 4 | Macro-F1 0.4972 | kein Fortschritt 4/50
  [deberta] Step  2720 | Ep 4 | Macro-F1 0.4959 | kein Fortschritt 5/50
  [deberta] Step  2760 | Ep 4 | Macro-F1 0.4635 | kein Fortschritt 6/50
  [deberta] Step  2800 | Ep 4 | Macro-F1 0.4877 | kein Fortschritt 7/50
  [deberta] Step  2840 | Ep 4 | Macro-F1 0.4833 | kein Fortschritt 8/50
  [deberta] Step  2880 | Ep 4 | Macro-F1 0.4603 | kein Fortschritt 9/50
  [deberta] Step  2920 | Ep 4 | Macro-F1 0.4808 | kein Fortschritt 10/50
  [deberta] Step  2960 | Ep 4 | Macro-F1 0.4733 | kein Fortschritt 11/50
  [deberta] Step  3000 | Ep 4 | Macro-F1 0.4789 | kein Fortschritt 12/50
  [deberta] Step  3040 | Ep 4 | Macro-F1 0.4509 | kein Fortschritt 13/50
  [deberta] Step  3080 | Ep 4 | Macro-F1 0.4719 | kein Fortschritt 14/50
  [deberta] Step  3120 | Ep 4 | Macro-F1 0.4769 | kein Fortschritt 15/50
  [deberta] Step  3160 | Ep 4 | Macro-F1 0.5000 | kein Fortschritt 16/50
  [deberta] Step  3200 | Ep 4 | Macro-F1 0.4929 | kein Fortschritt 17/50
  [deberta] Step  3240 | Ep 4 | Macro-F1 0.4790 | kein Fortschritt 18/50
  [deberta] Step  3280 | Ep 4 | Macro-F1 0.4917 | kein Fortschritt 19/50
  [deberta] Step  3320 | Ep 4 | Macro-F1 0.4922 | kein Fortschritt 20/50
  [deberta] Step  3360 | Ep 4 | Macro-F1 0.5139 | OK Bestes Modell
  [deberta] Step  3400 | Ep 4 | Macro-F1 0.4893 | kein Fortschritt 1/50
  [deberta] Step  3440 | Ep 4 | Macro-F1 0.4600 | kein Fortschritt 2/50
  [deberta] Step  3480 | Ep 4 | Macro-F1 0.4672 | kein Fortschritt 3/50
  [deberta] Step  3520 | Ep 4 | Macro-F1 0.4988 | kein Fortschritt 4/50
  [deberta] Step  3560 | Ep 4 | Macro-F1 0.4757 | kein Fortschritt 5/50
  [deberta] Step  3600 | Ep 5 | Macro-F1 0.4700 | kein Fortschritt 6/50
  [deberta] Step  3640 | Ep 5 | Macro-F1 0.4992 | kein Fortschritt 7/50
  [deberta] Step  3680 | Ep 5 | Macro-F1 0.4751 | kein Fortschritt 8/50
  [deberta] Step  3720 | Ep 5 | Macro-F1 0.4931 | kein Fortschritt 9/50
  [deberta] Step  3760 | Ep 5 | Macro-F1 0.4946 | kein Fortschritt 10/50
  [deberta] Step  3800 | Ep 5 | Macro-F1 0.4717 | kein Fortschritt 11/50
  [deberta] Step  3840 | Ep 5 | Macro-F1 0.4919 | kein Fortschritt 12/50
  [deberta] Step  3880 | Ep 5 | Macro-F1 0.4883 | kein Fortschritt 13/50
  [deberta] Step  3920 | Ep 5 | Macro-F1 0.4771 | kein Fortschritt 14/50
  [deberta] Step  3960 | Ep 5 | Macro-F1 0.4912 | kein Fortschritt 15/50
  [deberta] Step  4000 | Ep 5 | Macro-F1 0.4941 | kein Fortschritt 16/50
  [deberta] Step  4040 | Ep 5 | Macro-F1 0.4933 | kein Fortschritt 17/50
  [deberta] Step  4080 | Ep 5 | Macro-F1 0.5005 | kein Fortschritt 18/50
  [deberta] Step  4120 | Ep 5 | Macro-F1 0.4909 | kein Fortschritt 19/50
  [deberta] Step  4160 | Ep 5 | Macro-F1 0.4799 | kein Fortschritt 20/50
  [deberta] Step  4200 | Ep 5 | Macro-F1 0.4857 | kein Fortschritt 21/50
  [deberta] Step  4240 | Ep 5 | Macro-F1 0.4677 | kein Fortschritt 22/50
  [deberta] Step  4280 | Ep 5 | Macro-F1 0.4867 | kein Fortschritt 23/50
  [deberta] Step  4320 | Ep 5 | Macro-F1 0.4640 | kein Fortschritt 24/50
  [deberta] Step  4360 | Ep 5 | Macro-F1 0.4757 | kein Fortschritt 25/50
  [deberta] Step  4400 | Ep 5 | Macro-F1 0.4835 | kein Fortschritt 26/50
  [deberta] Step  4440 | Ep 5 | Macro-F1 0.4725 | kein Fortschritt 27/50
  [deberta] Step  4480 | Ep 6 | Macro-F1 0.4862 | kein Fortschritt 28/50
  [deberta] Step  4520 | Ep 6 | Macro-F1 0.4619 | kein Fortschritt 29/50
  [deberta] Step  4560 | Ep 6 | Macro-F1 0.4603 | kein Fortschritt 30/50
  [deberta] Step  4600 | Ep 6 | Macro-F1 0.4672 | kein Fortschritt 31/50
  [deberta] Step  4640 | Ep 6 | Macro-F1 0.4866 | kein Fortschritt 32/50
  [deberta] Step  4680 | Ep 6 | Macro-F1 0.4805 | kein Fortschritt 33/50
  [deberta] Step  4720 | Ep 6 | Macro-F1 0.4749 | kein Fortschritt 34/50
  [deberta] Step  4760 | Ep 6 | Macro-F1 0.4820 | kein Fortschritt 35/50
  [deberta] Step  4800 | Ep 6 | Macro-F1 0.4686 | kein Fortschritt 36/50
  [deberta] Step  4840 | Ep 6 | Macro-F1 0.4973 | kein Fortschritt 37/50
  [deberta] Step  4880 | Ep 6 | Macro-F1 0.4876 | kein Fortschritt 38/50
  [deberta] Step  4920 | Ep 6 | Macro-F1 0.4853 | kein Fortschritt 39/50
  [deberta] Step  4960 | Ep 6 | Macro-F1 0.4816 | kein Fortschritt 40/50
  [deberta] Step  5000 | Ep 6 | Macro-F1 0.4898 | kein Fortschritt 41/50
  [deberta] Step  5040 | Ep 6 | Macro-F1 0.4831 | kein Fortschritt 42/50
  [deberta] Step  5080 | Ep 6 | Macro-F1 0.4740 | kein Fortschritt 43/50
  [deberta] Step  5120 | Ep 6 | Macro-F1 0.4776 | kein Fortschritt 44/50
  [deberta] Step  5160 | Ep 6 | Macro-F1 0.4774 | kein Fortschritt 45/50
  [deberta] Step  5200 | Ep 6 | Macro-F1 0.4692 | kein Fortschritt 46/50
  [deberta] Step  5240 | Ep 6 | Macro-F1 0.4904 | kein Fortschritt 47/50
  [deberta] Step  5280 | Ep 6 | Macro-F1 0.4843 | kein Fortschritt 48/50
  [deberta] Step  5320 | Ep 6 | Macro-F1 0.4865 | kein Fortschritt 49/50
  [deberta] Step  5360 | Ep 7 | Macro-F1 0.4684 | kein Fortschritt 50/50
  [deberta] Early Stopping (beste Macro-F1: 0.5139)

  [deberta] Finaler Report:
              precision    recall  f1-score   support

   agitation       0.83      0.36      0.50        14
   criticism       0.57      0.65      0.61       184
     nothing       0.95      0.94      0.94      1383
  subversive       0.00      0.00      0.00         5

    accuracy                           0.90      1586
   macro avg       0.59      0.49      0.51      1586
weighted avg       0.90      0.90      0.90      1586


─────────────────────────────────────────────────────────────────
  ENSEMBLE SOFT-VOTING (Val-Set)
─────────────────────────────────────────────────────────────────

  Ensemble Macro-F1 (Val): 0.58932

  Einzelmodelle zum Vergleich:
    gbert        Macro-F1: 0.59027
    xlmr         Macro-F1: 0.55339
    deberta      Macro-F1: 0.51387

  Ensemble Classification Report:
              precision    recall  f1-score   support

   agitation       1.00      0.36      0.53        14
   criticism       0.63      0.64      0.63       184
     nothing       0.95      0.95      0.95      1383
  subversive       0.33      0.20      0.25         5

    accuracy                           0.91      1586
   macro avg       0.73      0.54      0.59      1586
weighted avg       0.91      0.91      0.91      1586


─────────────────────────────────────────────────────────────────
  TESTSET-VORHERSAGEN
─────────────────────────────────────────────────────────────────
  Lade gbert fuer Testvorhersage ...
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
  Lade xlmr fuer Testvorhersage ...
  Lade deberta fuer Testvorhersage ...

  Testvorhersagen gespeichert: model_dataset_gridsearch/all5_aug-none/predictions_test.csv
    nothing            868
    criticism          110
    agitation           17
    subversive           4

  Ergebnis angehaengt: /u/halle/ophe/home_at/Desktop/nlp/Sophie/results.csv

=================================================================
  ENSEMBLE-TRAINING ABGESCHLOSSEN
=================================================================
  Ensemble Macro-F1 (Val):  0.58932
    gbert        0.59027
    xlmr         0.55339
    deberta      0.51387

  Alle Dateien in: /u/halle/ophe/home_at/Desktop/nlp/Sophie/model_dataset_gridsearch/all5_aug-none
  predictions_test.csv | ensemble_config.json | results.csv

